140 140
Conductor 2 4
Tail 9 23
Conductor 9 24
Conductor 9 25
Conductor 9 29
Conductor 9 30
Tail 9 31
Head 9 32
Conductor 9 33
Tail 9 34
Tail 9 35
Conductor 9 36
Head 10 22
Tail 10 23
Head 10 25
Head 10 26
Head 10 29
Head 10 37
Head 11 22
Tail 11 26
Tail 11 29
Tail 11 37
Head 12 22
Conductor 12 26
Conductor 12 29
Conductor 12 37
Tail 13 21
Tail 13 22
Conductor 13 26
Head 13 27
Head 13 29
Head 13 30
Head 13 36
Head 13 37
Conductor 14 21
Head 14 27
Tail 14 28
Tail 14 30
Tail 14 31
Tail 14 36
Head 15 21
Head 15 23
Head 15 24
Conductor 15 29
Conductor 15 31
Head 15 34
Conductor 15 35
Tail 15 36
Tail 16 21
Tail 16 23
Head 16 29
Head 16 30
Head 16 31
Conductor 16 32
Tail 16 33
Head 16 34
Conductor 17 21
Conductor 17 22
Conductor 17 23
Tail 17 30
Conductor 18 21
Head 18 22
Head 18 23
Conductor 18 30
Head 19 20
Tail 19 23
Head 19 29
Tail 20 20
Conductor 20 24
Tail 20 29
Head 21 19
Tail 21 20
Conductor 21 21
Tail 21 23
Conductor 21 24
Head 21 25
Conductor 21 29
Head 22 19
Conductor 22 21
Head 22 22
Tail 22 23
Tail 22 26
Conductor 22 27
Head 22 28
Conductor 22 29
Head 22 34
Conductor 22 35
Tail 23 20
Head 23 22
Head 23 23
Tail 23 27
Head 23 28
Tail 23 29
Tail 23 30
Head 23 31
Conductor 23 32
Tail 23 33
Conductor 23 35
Head 24 22
Tail 24 23
Head 24 28
Tail 24 35
Tail 25 23
Conductor 25 24
Head 25 25
Tail 25 26
Conductor 25 27
Conductor 25 28
Head 25 35
Tail 26 23
Conductor 26 35
Head 27 24
Tail 27 36
Conductor 28 24
Head 28 36
Tail 29 24
Conductor 29 36
Head 30 24
Tail 30 36
Conductor 31 24
Head 31 36
Tail 32 24
Tail 32 25
Conductor 32 36
Head 33 26
Conductor 33 27
Tail 33 28
Head 33 29
Conductor 33 30
Tail 33 31
Head 33 32
Conductor 33 33
Head 33 34
Tail 33 35
Tail 33 36
Conductor 38 36
Conductor 38 37
Conductor 38 38
Conductor 38 39
Conductor 38 40
Conductor 39 35
Conductor 39 40
Conductor 40 34
Conductor 40 35
Conductor 40 40
Conductor 41 34
Conductor 41 39
Conductor 41 41
Conductor 42 34
Conductor 42 39
Conductor 42 41
Conductor 43 34
Conductor 43 39
Conductor 43 41
Conductor 44 34
Conductor 44 39
Conductor 44 41
Conductor 45 34
Conductor 45 39
Conductor 45 41
Conductor 45 47
Conductor 45 50
Conductor 46 34
Conductor 46 39
Conductor 46 41
Conductor 46 47
Conductor 46 50
Conductor 47 34
Conductor 47 39
Conductor 47 41
Conductor 47 47
Conductor 47 50
Conductor 48 34
Conductor 48 39
Conductor 48 41
Conductor 48 47
Conductor 48 50
Conductor 49 34
Conductor 49 40
Conductor 49 47
Conductor 49 50
Conductor 50 47
Conductor 50 50
Conductor 51 44
Conductor 51 45
Conductor 51 46
Conductor 51 50
Conductor 52 43
Conductor 52 50
Conductor 53 44
Conductor 53 45
Conductor 53 46
Conductor 53 50
Conductor 54 47
Conductor 54 50
Conductor 55 46
Conductor 55 47
Conductor 55 48
Conductor 55 50
Conductor 56 47
Conductor 56 50
Conductor 57 46
Conductor 57 48
Conductor 57 50
Conductor 58 45
Conductor 58 49
Conductor 59 45
Conductor 59 49
Conductor 59 60
Conductor 59 62
Conductor 60 44
Conductor 60 45
Conductor 60 46
Conductor 60 49
Conductor 60 60
Conductor 60 62
Conductor 61 45
Conductor 61 49
Conductor 61 59
Conductor 61 63
Conductor 62 44
Conductor 62 46
Conductor 62 47
Conductor 62 48
Conductor 62 59
Conductor 62 61
Conductor 62 63
Conductor 63 44
Conductor 63 60
Conductor 63 61
Conductor 63 62
Conductor 64 61
Conductor 65 61
Conductor 66 61
Conductor 67 61
Conductor 68 68
Conductor 69 68
Conductor 69 70
Conductor 70 68
Conductor 70 70
Conductor 71 67
Conductor 71 71
Conductor 72 66
Conductor 72 72
Conductor 73 66
Conductor 73 68
Conductor 73 69
Conductor 73 70
Conductor 73 72
Conductor 74 67
Conductor 74 68
Conductor 74 70
Conductor 74 71
Conductor 75 68
Conductor 75 69
Conductor 75 70
Conductor 76 68
Conductor 76 69
Conductor 76 70
Conductor 77 69
Conductor 78 69
