200 200
Conductor 9 23
Conductor 9 24
Conductor 9 25
Conductor 10 22
Conductor 10 23
Conductor 10 25
Conductor 10 26
Conductor 11 22
Conductor 11 26
Conductor 12 22
Conductor 12 26
Conductor 13 21
Conductor 13 22
Conductor 13 26
Conductor 13 27
Conductor 14 21
Conductor 14 27
Conductor 14 28
Conductor 15 21
Head 15 23
Head 15 24
Tail 15 29
Conductor 16 21
Tail 16 23
Head 16 29
Head 16 30
Conductor 17 21
Conductor 17 22
Tail 17 23
Conductor 17 30
Tail 18 21
Tail 18 22
Tail 18 23
Conductor 18 30
Head 19 20
Head 19 23
Conductor 19 29
Conductor 20 20
Conductor 20 24
Conductor 20 29
Conductor 21 20
Conductor 21 23
Conductor 21 24
Conductor 21 25
Conductor 21 29
Conductor 22 21
Conductor 22 22
Conductor 22 23
Conductor 22 26
Conductor 22 27
Conductor 22 28
Conductor 22 29
Conductor 22 34
Tail 22 35
Conductor 23 22
Conductor 23 23
Conductor 23 27
Conductor 23 28
Conductor 23 29
Conductor 23 30
Conductor 23 31
Conductor 23 32
Conductor 23 33
Tail 23 35
Conductor 24 22
Conductor 24 23
Conductor 24 28
Head 24 35
Conductor 25 23
Conductor 25 24
Conductor 25 25
Conductor 25 26
Conductor 25 27
Conductor 25 28
Conductor 25 35
Conductor 26 23
Conductor 26 35
Conductor 27 24
Conductor 27 36
Conductor 28 24
Conductor 28 36
Conductor 29 24
Conductor 29 36
Conductor 30 24
Conductor 30 36
Conductor 31 24
Conductor 31 36
Conductor 32 24
Conductor 32 25
Conductor 32 36
Tail 33 26
Head 33 27
Conductor 33 28
Conductor 33 29
Conductor 33 30
Conductor 33 31
Conductor 33 32
Conductor 33 33
Conductor 33 34
Conductor 33 35
Conductor 33 36
